author_a,author_b,shared_papers
Michael König,Fabrizio Zilibotti,1
Michael König,Zheng Song,1
Jonas Tungodden,Alexander Willén,1
Evan K. Rose,Jesse Bruhn,1
Mónica Martínez-Bravo,Nancy Qian,1
Kirby Nielsen,Christina McGranaghan,1
Kyle Myers,Aaron Chatterji,1
Kyle Myers,Ashley Swanson,1
Kyle Myers,Matthew Grennan,1
Kyle Myers,Lauren Lanahan,1
Robert C. Feenstra,Mingzhi Xu,1
Alexis Antoniades,Mingzhi Xu,1
Alexis Antoniades,Robert C. Feenstra,1
John Quah,Eddie Dekel,1
John Quah,Paweł Dziewulski,1
John Quah,Jörg Stoye,1
Yuichi Kitamura,Jörg Stoye,1
Yuichi Kitamura,John Quah,1
Rahul Deb,Maher Said,1
Rahul Deb,Jörg Stoye,1
Rahul Deb,John Quah,1
Rahul Deb,Yuichi Kitamura,1
Yingni Guo,Bryony Reich,1
Kirby Nielsen,John Rehbeck,1
Kirby Nielsen,Ted O’Donoghue,1
Evan K. Rose,Christopher R. Walters,1
Kirby Nielsen,Charles Sprenger,1
Mónica Martínez-Bravo,Gerard Padró i Miquel,1
Lise Vesterlund,Alistair J. Wilson,1
David Danz,Alistair J. Wilson,1
David Danz,Lise Vesterlund,1
Nikolai Cook,Anthony Heyes,1
Abel Brodeur,Lester Lusher,1
Abel Brodeur,David Figlio,1
Abel Brodeur,Scott Carrell,1
Abel Brodeur,Anthony Heyes,1
Abel Brodeur,Nikolai Cook,1
Sebastian Kranz,Peter Pütz,1
Eric Zwick,Dmitry Taubinsky,1
Eric Zwick,Ellen Magenheim,1
Eric Zwick,Erin Todd Bronchetti,1
Owen Zidar,Eric Zwick,1
Matthew Smith,Eric Zwick,1
Matthew Smith,Owen Zidar,1
Daniel Barron,Bryony Reich,1
Daniel Barron,Yingni Guo,1
Pierlauro Lopez,Elena Pastorino,1
Patrick J. Kehoe,Elena Pastorino,1
Frederico Finan,Laura Schechter,1
Frederico Finan,Horacio Larreguy,1
Frederico Finan,Raúl Duarte,1
Frederico Finan,Maurizio Mazzocco,1
Frederico Finan,Torsten Persson,1
Ernesto Dal Bó,Torsten Persson,1
Ernesto Dal Bó,Frederico Finan,1
Benjamin Schoefer,Preston Mui,1
Benjamin Schoefer,Nina Roussille,1
Benjamin Schoefer,Christopher Roth,1
Simon Jäger,Nina Roussille,1
Simon Jäger,Christopher Roth,1
Evan K. Rose,Jeffrey Weaver,1
Evan K. Rose,Matthew Pecenco,1
Evan K. Rose,Carl McPherson,1
Evan K. Rose,Dmitri Koustas,1
Evan K. Rose,Andrew Garin,1
Torsten Persson,Timothy Besley,1
Victor Stango,Jonathan Zinman,1
Tarek A. Hassan,Thomas M. Mertens,1
Thomas M. Mertens,Tony Zhang,1
Patrick J. Kehoe,Pierlauro Lopez,1
Xiaomin Li,Colin F. Camerer,1
Andresa Lagerborg,Evi Pappa,1
Jonathan Gruber,Michael A. Frakes,1
Jonathan Gruber,Ari Bronsoler,1
Jason Abaluck,Jonathan Gruber,1
Philippe Bacchetta,Eric van Wincoop,1
Tarek A. Hassan,Josh Lerner,1
Tarek A. Hassan,Tony Zhang,1
Tarek A. Hassan,Marcela Carvalho,1
Tarek A. Hassan,Nicholas Bloom,1
Tarek A. Hassan,Aakash Kalyani,1
Tarek A. Hassan,Aakaash Rao,1
Tarek A. Hassan,Leonardo Bursztyn,1
Tarek A. Hassan,Markus Schwedeler,1
Tarek A. Hassan,Jesse Schreger,1
Paula Bedregal,Miguel Cordero,1
Pedro Bordalo,Spencer Kwon,1
Alex Imas,Kristóf Madarász,1
Antoine Dechezleprêtre,Ana Sánchez Chico,1
Arkey Barnett,Crystal Yang,1
Arkey Barnett,Peter Hull,1
Aakash Kalyani,Marcela Carvalho,1
Travis Baseler,Olivia Woldemikael,1
Travis Baseler,Helidah Ogude-Chambert,1
Travis Baseler,Robert Hakiza,1
Travis Baseler,Thomas C. Ginn,1
Daniel Agness,Travis Baseler,1
Antoine Dechezleprêtre,Bluebery Planterose,1
Gautam Gowrisankaran,Jackson Dorsey,1
Antoine Dechezleprêtre,Tobias Kruse,1
Antoine Dechezleprêtre,Adrien Fabre,1
Carlo Zanella,Antoine Dechezleprêtre,1
Morten Olsen,Antoine Dechezleprêtre,1
Morten Olsen,Carlo Zanella,1
David Hémous,Antoine Dechezleprêtre,1
David Hémous,Carlo Zanella,1
David Hémous,Morten Olsen,1
Peter Hull,Crystal Yang,1
Crystal Yang,Victoria Angelova,1
Deepal Basak,Zhen Zhou,1
Nicolas de Roos,Matthew S. Lewis,1
Serafín Frache,Brent Meyer,1
Rodrigo Lluberas,Jorge Ponce,1
Rodrigo Lluberas,Brent Meyer,1
Rodrigo Lluberas,Serafín Frache,1
Tiziano Ropele,Jorge Ponce,1
Tiziano Ropele,Brent Meyer,1
Tiziano Ropele,Serafín Frache,1
Tiziano Ropele,Rodrigo Lluberas,1
Bernardo Candia,Jorge Ponce,1
Bernardo Candia,Brent Meyer,1
Bernardo Candia,Serafín Frache,1
Bernardo Candia,Rodrigo Lluberas,1
Bernardo Candia,Tiziano Ropele,1
Massimo Morelli,Matia Vannoni,1
François Le Grand,Xavier Ragot,1
Matthew S. Lewis,Xiaosong Wu,1
Nicolas de Roos,Xiaosong Wu,1
Ashley Langer,Wendan Zhang,1
Gautam Gowrisankaran,Wendan Zhang,1
Alex Imas,Rawley Heimer,1
Francesco Grigoliy,Nicola Pierri,1
David H. Howard,Theodore L. Caputi,1
David H. Howard,Jetson Leder‐Luis,1
Jonathan Gruber,Theodore L. Caputi,1
Jonathan Gruber,Jetson Leder‐Luis,1
Jonathan Gruber,David H. Howard,1
J. Boehm,Etienne Fize,1
Nicola Pierri,Cian Ruane,1
Francesco Grigoliy,Cian Ruane,1
Marvin Cardoza,Cian Ruane,1
Gautam Gowrisankaran,Ashley Langer,1
Marvin Cardoza,Nicola Pierri,1
Marvin Cardoza,Francesco Grigoliy,1
Francis Wong,Wesley Yin,1
Neale Mahoney,Ben Klopack,1
Neale Mahoney,Wesley Yin,1
Neale Mahoney,Francis Wong,1
Raymond Kluender,Wesley Yin,1
Raymond Kluender,Francis Wong,1
Jetson Leder‐Luis,Theodore L. Caputi,1
Rawley Heimer,Zwetelina Iliewa,1
Rawley Heimer,Martin Weber,1
Zwetelina Iliewa,Martin Weber,1
Martin Karlsson,Nicolas R. Ziebarth,1
Hanming Fang,Nicolas R. Ziebarth,1
Hanming Fang,Martin Karlsson,1
Hugh Shiplett,Victoria Udalova,1
Kevin Rinz,Victoria Udalova,1
Kevin Rinz,Hugh Shiplett,1
Maria Polyakova,Victoria Udalova,1
Maria Polyakova,Hugh Shiplett,1
Maria Polyakova,Kevin Rinz,1
Ying Fan,Chenyu Yang,1
Adam Rosen,Takuya Ura,1
Brian K. Kovak,Peter Morrow,1
Alan Moreira,Tyler Muir,1
Valentin Haddad,Erik Loualiche,1
Valentin Haddad,Paul Huebner,1
Valentin Haddad,Tyler Muir,1
Valentin Haddad,Alan Moreira,1
Serafín Frache,Jorge Ponce,1
Brent Meyer,Jorge Ponce,1
Steven J. Davis,Pawel M. Krolikowski,1
Thomas Mikosch,Frederik Vilandt,1
Tobias Kruse,Ana Sánchez Chico,1
Tobias Kruse,Bluebery Planterose,1
Adrien Fabre,Ana Sánchez Chico,1
Adrien Fabre,Bluebery Planterose,1
Adrien Fabre,Tobias Kruse,1
Benjamin Hartung,Philip Jung,1
Christian Basteck,Lars Ehlers,1
Anders Rahbek,Frederik Vilandt,1
Thomas Mikosch,Anders Rahbek,1
S. Nageeb Ali,Ran I. Shorrer,1
Giuseppe Cavaliere,Frederik Vilandt,1
Giuseppe Cavaliere,Anders Rahbek,1
Giuseppe Cavaliere,Thomas Mikosch,1
Jonas E. Arias,Daniel F. Waggoner,1
Carl McPherson,Matthew Pecenco,1
Dmitri Koustas,Matthew Pecenco,1
Dmitri Koustas,Carl McPherson,1
Robert M. Anderson,Haosui Duanmu,1
Bluebery Planterose,Ana Sánchez Chico,1
Bruno Pellegrino,Enrico Spolaore,1
Bruno Pellegrino,Romain Wacziarg,1
Stefano Federico,Fadi Hassan,1
Arkadev Ghosh,Prerna Kundu,1
Kurt Mitman,Brendan Moore,1
Helidah Ogude-Chambert,Olivia Woldemikael,1
Robert Hakiza,Olivia Woldemikael,1
Robert Hakiza,Helidah Ogude-Chambert,1
Thomas C. Ginn,Olivia Woldemikael,1
Thomas C. Ginn,Helidah Ogude-Chambert,1
Thomas C. Ginn,Robert Hakiza,1
Kurt Lavetti,Michael Lipsitz,1
Matthew S. Johnson,Michael Lipsitz,1
Matthew S. Johnson,Kurt Lavetti,1
Yunmi Kong,Bernardo Silveira,1
Tong Li,Jingfeng Lu,1
Christopher P. Chambers,Paulo Natenzon,1
Ye Li,Wenhao Li,1
Fadi Hassan,Veronica Rappoport,1
Stefano Federico,Veronica Rappoport,1
Ruixuan Liu,Zhengfei Yu,1
Charles Hodgson,Gregory Lewis,1
Charles Hodgson,Paulo Somaini,1
Paul Huebner,Erik Loualiche,1
Nathan Miller,Joel Stiebale,1
Alexander MacKay,Joel Stiebale,1
Alexander MacKay,Nathan Miller,1
Hendrik Döpper,Joel Stiebale,1
Hendrik Döpper,Nathan Miller,1
Hendrik Döpper,Alexander MacKay,1
Naoki Aizawa,Ami Ko,1
Valerie Ramey,Johannes Wieland,1
Jacob Orchard,Johannes Wieland,1
Jacob Orchard,Valerie Ramey,1
Barbara Biasi,Julien Lafortune,1
Eric Chyn,Danielle H. Sandler,1
Erik Brynjolfsson,Lindsey Raymond,1
Erik Brynjolfsson,Danielle Li,1
Akshaya Jha,Gordon Leslie,1
Michael Luca,Oren Reshef,1
S. Nageeb Ali,Maximilian Mihm,1
Philipp Kastrau,Gianmarco León,1
C.R.I. Clayton,Amanda dos Santos,1
Nikhil Agarwal,Paulo Somaini,1
C.R.I. Clayton,Matteo Maggiori,1
Nikhil Agarwal,Charles Hodgson,1
Pauli Murto,Juuso Välimäki,1
Chad P. Bown,Robert C. Johnson,1
Emily J. Blanchard,Robert C. Johnson,1
Emily J. Blanchard,Chad P. Bown,1
Maxwell Palmer,Benjamin Schneer,1
Raymond Deneckere,Daniel Quint,1
Jack Willis,Duarte Gonçalves,1
Lorenzo Casaburi,Jack Willis,1
Michelle Acampora,Jack Willis,1
Michelle Acampora,Lorenzo Casaburi,1
Paolo Surico,Juan Drechsel Antolin-Diaz,1
Alessandro Gavazza,Paolo Surico,1
Matteo Benetton,Paolo Surico,1
Matteo Benetton,Alessandro Gavazza,1
Antje Berndt,Yichao Zhu,1
Amanda dos Santos,Matteo Maggiori,1
Raymond Kluender,Neale Mahoney,1
Joris Mueller,Philip Osafo-Kwaako,1
Ameet Morjaria,Philip Osafo-Kwaako,1
Kristof Bosmans,Arno Riedl,1
Niko Matouschek,Bryony Reich,1
Bo E. Honoré,Martin Weidner,1
Eben Lazarus,Michael Thaler,1
Ned Augenblick,Michael Thaler,1
Ned Augenblick,Eben Lazarus,1
Jonathan Rothbaum,Lawrence Schmidt,1
Jonas Cederlöf,Peter Fredriksson,1
Marzena Rostek,Ji Hee Yoon,1
Nickolas Gagnon,Arno Riedl,1
Cédric Chambru,Emeric Henry,1
Nickolas Gagnon,Kristof Bosmans,1
John Bailey Jones,Rory McGee,1
Eric French,Rory McGee,1
Eric French,John Bailey Jones,1
Henry R. Hyatt,James R. Spletzer,1
Jing Wu,Tianli Xia,1
Andrew Waxman,Tianli Xia,1
Andrew Waxman,Jing Wu,1
Wenting Song,Samuel Stern,1
Henrik Kleven,Gabriel Leite-Mariante,1
Henrik Kleven,Kristian Larsen,1
Henrik Kleven,Jakob Egholt Søgaard,1
Jeffrey Weaver,Carl McPherson,1
Jeffrey Weaver,Dmitri Koustas,1
Veda Narasimhan,Jeffrey Weaver,1
Matt Lowe,Olaitan Ogunnote,1
U.S. Senator Mike Lee,Olaitan Ogunnote,1
U.S. Senator Mike Lee,Matt Lowe,1
N. S. Arun Kumar,Olaitan Ogunnote,1
N. S. Arun Kumar,Matt Lowe,1
N. S. Arun Kumar,U.S. Senator Mike Lee,1
Darrell Duffie,Yichao Zhu,1
Darrell Duffie,Antje Berndt,1
Darrell Duffie,Yilin Yang,1
Adam Copeland,Yilin Yang,1
Adam Copeland,Darrell Duffie,1
Felix Rusche,Wladislaw Mill,1
Yulia Evsyukova,Wladislaw Mill,1
Yulia Evsyukova,Felix Rusche,1
David Schönholzer,Julien Lafortune,1
David Schönholzer,Barbara Biasi,1
Roberto A. Weber,Yao Lan,1
Thomas Hertz,Arun Ramesh,1
Evelyn Smith,Jacob Goldin,1
Evelyn Smith,Daniel E. Ho,1
Evelyn Smith,Robin Fisher,1
Evelyn Smith,Arun Ramesh,1
Evelyn Smith,Cameron Guage,1
Evelyn Smith,Thomas Hertz,1
Hadi Elzayn,Jacob Goldin,1
Hadi Elzayn,Daniel E. Ho,1
Hadi Elzayn,Robin Fisher,1
Hadi Elzayn,Arun Ramesh,1
Hadi Elzayn,Cameron Guage,1
Hadi Elzayn,Thomas Hertz,1
Hadi Elzayn,Evelyn Smith,1
Stephanie W. Wang,Colin Camerer,1
Erik Snowberg,Travis Baseler,1
Erik Snowberg,Daniel Agness,1
Erik Snowberg,Colin Camerer,1
Thomas Hertz,Cameron Guage,1
Thomas Hertz,Robin Fisher,1
Vanessa Valero,Yao Lan,1
Thomas Hertz,Daniel E. Ho,1
Vanessa Valero,Roberto A. Weber,1
Björn Bartling,Yao Lan,1
Björn Bartling,Roberto A. Weber,1
Björn Bartling,Vanessa Valero,1
Anant Sudarshan,Nicholas Ryan,1
Eyal Frank,Anant Sudarshan,1
Daniel E. Ho,Jacob Goldin,1
Robin Fisher,Jacob Goldin,1
Robin Fisher,Daniel E. Ho,1
Arun Ramesh,Jacob Goldin,1
Arun Ramesh,Daniel E. Ho,1
Arun Ramesh,Robin Fisher,1
Cameron Guage,Jacob Goldin,1
Cameron Guage,Daniel E. Ho,1
Cameron Guage,Robin Fisher,1
Cameron Guage,Arun Ramesh,1
Thomas Hertz,Jacob Goldin,1
Jeffrey Weaver,Matthew Pecenco,1
Cédric Chambru,Benjamin Marx,1
Ameet Morjaria,Joris Mueller,1
Kristof Titeca,Haoyang Xie,1
Jonathan Payne,Bálint Szőke,1
Quy‐Toan Do,Hanan G. Jacoby,1
Paul Goldsmith-Pinkham,Michal Kolesár,1
Aimable Amani Lameke,Albert Jolino Malukisa,1
Haoyang Xie,Albert Jolino Malukisa,1
Haoyang Xie,Aimable Amani Lameke,1
Kristof Titeca,Albert Jolino Malukisa,1
Kristof Titeca,Aimable Amani Lameke,1
Carlo Schwarz,Fabian Waldinger,1
Emeric Henry,Benjamin Marx,1
Sebastian Hager,Fabian Waldinger,1
Sebastian Hager,Carlo Schwarz,1
Jetson Leder-Luis,Ryan C. McDevitt,1
Riley League,Ryan C. McDevitt,1
Riley League,Jetson Leder-Luis,1
Paul J. Eliason,Ryan C. McDevitt,1
Paul J. Eliason,Jetson Leder-Luis,1
Paul J. Eliason,Riley League,1
Jonathan Payne,George Hall,1
Jonathan Payne,Thomas J. Sargent,1
Bálint Szőke,George Hall,1
Bálint Szőke,Thomas J. Sargent,1
Ruth Carlitz,Philip Osafo-Kwaako,1
Ruth Carlitz,Joris Mueller,1
Ruth Carlitz,Ameet Morjaria,1
Molly Moore,John-Henry Pezzuto,1
Oliver Hauser,John-Henry Pezzuto,1
Oliver Hauser,Molly Moore,1
Geeta Kingdon,Heather Schofield,1
Christina M. Brown,Heather Schofield,1
Christina M. Brown,Geeta Kingdon,1
Isaac Sorkin,Stephen A. Woodbury,1
Isaac Sorkin,Marta Lachowska,1
Andrew C. Johnston,Isaac Sorkin,1
Michael D. Bates,Isaac Sorkin,1
Michael D. Bates,Andrew C. Johnston,1
Thomas J. Sargent,David Evans,1
Thomas J. Sargent,Léo Aparisi de Lannoy,1
George Hall,Thomas J. Sargent,1
Ilan Kremer,Andrzej Skrzypacz,1
Davit Khantadze,Andrzej Skrzypacz,1
Davit Khantadze,Ilan Kremer,1
Bei Qin,David Strömberg,1
Christoph Breunig,Zhengfei Yu,1
Christoph Breunig,Ruixuan Liu,1
David Dillenberger,Uzi Segal,1
Ben Sprung-Keyser,Ellen Stuart,1
William Boning,Ellen Stuart,1
William Boning,Ben Sprung-Keyser,1
Malin Arve,David Martimort,1
Francesca Bastianello,Paul Fontanier,1
Xuelin Li,Richard T. Thakor,1
Pinar Karaca‐Mandic,Richard T. Thakor,1
Pinar Karaca‐Mandic,Xuelin Li,1
Cyrus Aghamolla,Richard T. Thakor,1
Cyrus Aghamolla,Xuelin Li,1
Cyrus Aghamolla,Pinar Karaca‐Mandic,1
Tristan Gagnon-Bartsch,Antonio Rosato,1
Benjamin Marx,Masyhur Hilmy,1
Benjamin Marx,Vincent Rollet,1
Raphaël Lévy,Nicolas Vieille,1
Bei Qin,Yanhui Wu,1
Archishman Chakraborty,Rick Harbaugh,1
David Strömberg,Yanhui Wu,1
Nemanja Antić,Rick Harbaugh,1
Nemanja Antić,Archishman Chakraborty,1
Petra Todd,Weilong Zhang,1
Christopher J. Flinn,Matthew Wiswall,1
Christopher J. Flinn,Ewout Verriest,1
Christopher J. Flinn,Daniela Del Boca,1
Christopher J. Flinn,Weilong Zhang,1
Christopher J. Flinn,Petra Todd,1
Sandy Jo MacArthur,Anuj Shah,1
Oeindrila Dube,Anuj Shah,1
Oeindrila Dube,Sandy Jo MacArthur,1
Daniel Peretz,Larry Samuelson,1
Michal Feldman,Larry Samuelson,1
Michal Feldman,Daniel Peretz,1
Paul Dütting,Larry Samuelson,1
Paul Dütting,Daniel Peretz,1
Paul Dütting,Michal Feldman,1
Arkadev Ghosh,Matt Lowe,1
Arkadev Ghosh,Gareth Nellis,1
Prerna Kundu,Matt Lowe,1
Daniela Del Boca,Matthew Wiswall,1
Qingen Gai,Naijia Guo,1
Lance Lochner,Youngmin Park,1
Elizabeth M. Caucutt,Youngmin Park,1
Elizabeth M. Caucutt,Lance Lochner,1
Juan Pantano,Stephen J. Suomi,1
Amanda M. Dettmer,Stephen J. Suomi,1
Amanda M. Dettmer,Juan Pantano,1
Ewout Verriest,Matthew Wiswall,1
Daniela Del Boca,Ewout Verriest,1
Sinem Hacıoğlu-Hoke,Kristina Bluwstein,1
Joseph Mullins,Youngmin Park,1
Joseph Mullins,Lance Lochner,1
Joseph Mullins,Elizabeth M. Caucutt,1
Joseph Price,Sutanuka Roy,1
Christopher Cotton,Sutanuka Roy,1
Christopher Cotton,Joseph Price,1
Simon P. Anderson,Régis Renault,1
Horacio Larreguy,Laura Schechter,1
Qingen Gai,Qinghua Shi,1
Qingen Gai,Xiaodong Zhu,1
Naijia Guo,Qinghua Shi,1
Naijia Guo,Xiaodong Zhu,1
Silvia Miranda‐Agrippino,Sinem Hacıoğlu-Hoke,1
Roberto Gómez-Cram,Alastair Lawrence,1
John Coglianese,Maria Olsson,1
Susan Godlonton,Caroline Theoharides,1
Ron Kaniel,Dmitry Orlov,1
Aprajit Mahajan,Eduardo Alcaraz Prous,1
Diego Jiménez-Hernández,Eduardo Alcaraz Prous,1
Diego Jiménez-Hernández,Aprajit Mahajan,1
Sara G. Castellanos,Eduardo Alcaraz Prous,1
Sara G. Castellanos,Aprajit Mahajan,1
Sara G. Castellanos,Diego Jiménez-Hernández,1
Leonardo Iacovone,David McKenzie,1
Scott Y. H. Kim,Petra Moser,1
Nicolas Bonneton,Christopher Sandmann,1
Sebastian Seitz,Sebastian Siegloch,1
Morten I. Lau,Hong Il Yoo,1
Qinghua Shi,Xiaodong Zhu,1
Raúl Duarte,Laura Schechter,1
Raúl Duarte,Horacio Larreguy,1
Shawn Kantor,Alexander Whalley,1
Chaza Abou Daher,Kendal Swanson,1
Samuel M. Hartzmark,David H. Solomon,1
Kristian Larsen,Jakob Egholt Søgaard,1
Rustam Jamilov,Tommaso Monacelli,1
Tibor Heumann,Stephen Morris,1
Marc Giannoni,Bruce Preston,1
Stefano Eusepi,Bruce Preston,1
Stefano Eusepi,Marc Giannoni,1
Mauricio Ulate,Jose P. Vasquez,1
Don Ross,J. Todd Swarthout,1
Glenn W. Harrison,J. Todd Swarthout,1
Glenn W. Harrison,Don Ross,1
Atsushi Inoue,Lutz Kilian,1
Léo Aparisi de Lannoy,David Evans,1
Michael Ricks,Owen Kay,1
Kamelia Stavreva,Megan T. Stevenson,1
Aurélie Ouss,Megan T. Stevenson,1
Aurélie Ouss,Kamelia Stavreva,1
Yao Luo,Bradley Setzler,1
Chaza Abou Daher,Kate Vyborny,1
Pamela Medina,Monica Morlacco,1
Kendal Swanson,Kate Vyborny,1
Francesco Amodio,Monica Morlacco,1
Francesco Amodio,Pamela Medina,1
Gloria Aldana,Mitchell D. Wong,1
Laura Wherry,Mitchell D. Wong,1
Laura Wherry,Gloria Aldana,1
Sarah Miller,Mitchell D. Wong,1
Sarah Miller,Gloria Aldana,1
Sarah Miller,Laura Wherry,1
Christopher Hollrah,Mitchell D. Wong,1
Christopher Hollrah,Gloria Aldana,1
Christopher Hollrah,Laura Wherry,1
Christopher Hollrah,Sarah Miller,1
Amelia Hawkins,Mitchell D. Wong,1
Amelia Hawkins,Gloria Aldana,1
Amelia Hawkins,Laura Wherry,1
Amelia Hawkins,Sarah Miller,1
Amelia Hawkins,Christopher Hollrah,1
Silvia Miranda‐Agrippino,Kristina Bluwstein,1
Daniel Björkegren,Samsun Knight,1
Ewa Gałecka‐Burdziak,Jochen Kluve,1
Carolina Arteaga,Victoria Barone,1
Laurent Gobillon,Sébastiên Roux,1
Laurent Gobillon,Thierry Magnac,1
Luke Pettit,Toni M. Whited,1
Ivan Ivanov,Toni M. Whited,1
Ivan Ivanov,Luke Pettit,1
Julien Pénasse,Yevhenii Usenko,1
Matthew Baron,Yevhenii Usenko,1
Matthew Baron,Julien Pénasse,1
Raj Chetty,David Deming,1
Ronan C. Lyons,Allison Shertzer,1
Mark Gertler,Joris Tielens,1
Luca Gagliardone,Joris Tielens,1
Luca Gagliardone,Mark Gertler,1
John Orellana-Li,Calvin Zhang,1
W. Ben McCartney,Calvin Zhang,1
W. Ben McCartney,John Orellana-Li,1
Marcus Casey,Calvin Zhang,1
Marcus Casey,John Orellana-Li,1
Thierry Magnac,Sébastiên Roux,1
Atif Mian,Amir Sufi,1
Ayumu Ken Kikkawa,Toshiaki Komatsu,1
Ayumu Ken Kikkawa,Felix Tintelnot,1
Jay Pil Choi,Doh-Shin Jeon,1
Alexandre Corhay,Jincheng Tong,1
Cooper Howesy,Gregory Weitznerz,1
Jay Lu,Kyohei Okumura,1
Elena Capatina,Michael P. Keane,1
Austin Kennedy,Jared Rubin,1
Murat Iyigun,Jared Rubin,1
Murat Iyigun,Austin Kennedy,1
Ali Almelhem,Jared Rubin,1
Ali Almelhem,Austin Kennedy,1
Ali Almelhem,Murat Iyigun,1
Andrea Matranga,Timur Natkhov,1
Rafael Jiménez-Durán,Christopher G. Roth,1
Benjamin Handel,Christopher G. Roth,1
Benjamin Handel,Rafael Jiménez-Durán,1
Sarah Cattan,Emma Tominey,1
Toshiaki Komatsu,Felix Tintelnot,1
Marcus Casey,W. Ben McCartney,1
Patrick Bayer,Calvin Zhang,1
Patrick Bayer,John Orellana-Li,1
Michael Bailey,Martin Koenen,1
Jonathan Schulz,Joseph Henrich,1
Max Posch,Joseph Henrich,1
Max Posch,Jonathan Schulz,1
Alessandra Fogli,Mark Ponder,1
Carola Frydman,Eric Hilt,1
Patrick Baylis,Judson Boomhower,1
Zhongjian Lin,Francis Vella,1
James J. Heckman,Jin Zhou,1
L. Rachel Ngai,Kevin D. Sheedy,1
Chao Fu,Teng Li,1
Siyu Chen,Teng Li,1
Siyu Chen,Chao Fu,1
Rowena Gray,David Agorastos,1
Allison Shertzer,David Agorastos,1
Allison Shertzer,Rowena Gray,1
Ronan C. Lyons,David Agorastos,1
Ronan C. Lyons,Rowena Gray,1
Michael Bailey,Drew Johnston,1
Michael Bailey,Theresa Kuchler,1
Patrick Bayer,W. Ben McCartney,1
Michael Bailey,Dominic Russel,1
Patrick Bayer,Marcus Casey,1
Suraj Malladi,Amin Saberi,1
Therese C. Scharlemann,Eileen van Straelen,1
Elliot Anenberg,Eileen van Straelen,1
Elliot Anenberg,Therese C. Scharlemann,1
A. C. Barr,Benjamin Castleman,1
Dominic Russel,Johannes Stroebel,1
Theresa Kuchler,Johannes Stroebel,1
Theresa Kuchler,Dominic Russel,1
Martin Koenen,Johannes Stroebel,1
Martin Koenen,Dominic Russel,1
Martin Koenen,Theresa Kuchler,1
Drew Johnston,Johannes Stroebel,1
Drew Johnston,Dominic Russel,1
Drew Johnston,Theresa Kuchler,1
Drew Johnston,Martin Koenen,1
Michael Bailey,Johannes Stroebel,1
Marek Góra,Jochen Kluve,1
Ewa Gałecka‐Burdziak,Marek Góra,1
Prerna Kundu,Gareth Nellis,1
Nathan Fiala,Anjani Kumar,1
Diana Bonfim,Francisco Queiró,1
Diana Bonfim,Miguel A. Ferreira,1
Virginia Minni,Mari Tanaka,1
Laura Boudreau,Mari Tanaka,1
Laura Boudreau,Virginia Minni,1
Vı́ctor Aguirregabiria,Robert L. Clark,1
Anjani Kumar,Nishith Prakash,1
Nathan Fiala,Nishith Prakash,1
Girija Borker,Nishith Prakash,1
Simon Mayer,Konstantin Milbradt,1
Girija Borker,Anjani Kumar,1
Girija Borker,Nathan Fiala,1
Sofia Amaral,Nishith Prakash,1
Sofia Amaral,Anjani Kumar,1
Sofia Amaral,Nathan Fiala,1
Sofia Amaral,Girija Borker,1
Denis Chetverikov,Jesper Sørensen,1
Teddy Mekonnen,Zeky Murra-Anton,1
Diana Bonfim,Sujiao Zhao,1
Miguel A. Ferreira,Francisco Queiró,1
Miguel A. Ferreira,Sujiao Zhao,1
Francisco Queiró,Sujiao Zhao,1
Barney Hartman‐Glaser,Simon Mayer,1
Kristy Buzard,Laura Gee,1
Eric Qian,Conor J. Walsh,1
John L. Grigsby,Conor J. Walsh,1
John L. Grigsby,Eric Qian,1
Felipe Del Canto,Conor J. Walsh,1
Felipe Del Canto,Eric Qian,1
Felipe Del Canto,John L. Grigsby,1
Francesco Celentano,Mark Rempel,1
Filippo Palomba,Enrico Rettore,1
Federico Cingano,Enrico Rettore,1
Federico Cingano,Filippo Palomba,1
Roberto Colomboni,Maximilian Kasy,1
Nicolò Cesa‐Bianchi,Maximilian Kasy,1
Nicolò Cesa‐Bianchi,Roberto Colomboni,1
Milena Almagro,Tomás Domínguez-Iino,1
Carlos Paramo,Michael Walker,1
Rufei Guo,Junsen Zhang,1
Giovanni Facchini,Cecilia Testa,1
Andrea Bernini,Cecilia Testa,1
Viola Corradini,Garima Sharma,1
Wojciech Olszewski,Chloe Tergiman,1
Sergey Lychagin,Chloe Tergiman,1
Sergey Lychagin,Wojciech Olszewski,1
Kala Krishna,Chloe Tergiman,1
Kala Krishna,Wojciech Olszewski,1
Kala Krishna,Sergey Lychagin,1
J. Aislinn Bohren,Peter Hull,1
Daniel Cohen,William H. Morrison,1
Ruodu Wang,Qinyu Wu,1
Amanda Starc,Thomas Wollmann,1
Jakob Roland Munch,Pernille Plato,1
Anders Humlum,Pernille Plato,1
Anders Humlum,Jakob Roland Munch,1
Lucas Goodman,Cormac O’Dea,1
Taha Choukhmane,Cormac O’Dea,1
Taha Choukhmane,Lucas Goodman,1
Matt Lowe,Gareth Nellis,1
Viola Corradini,Lorenzo Lagos,1
Lorenzo Lagos,Garima Sharma,1
Andrea Bernini,Giovanni Facchini,1
R. Nazaré O. de Araújo,Francisco Costa,1
Martin Blomhoff Holm,Gisle James Natvik,1
Andreas Fagereng,Gisle James Natvik,1
Andreas Fagereng,Martin Blomhoff Holm,1
Mónica Costa Dias,Costas Meghir,1
