paper_id,author_id,author_name,author_position,is_corresponding,institution_id,institution_name,institution_type,institution_country
https://openalex.org/W3150080251,https://openalex.org/A5059741022,Liguo Lin,middle,False,https://openalex.org/I181679659,Shanghai University of Finance and Economics,education,CN
https://openalex.org/W3150080251,https://openalex.org/A5051245844,Eric Zou,last,False,https://openalex.org/I27837315,University of Michigan,education,US
https://openalex.org/W3150080251,https://openalex.org/A5051245844,Eric Zou,last,False,https://openalex.org/I4210096135,Ross School,education,US
https://openalex.org/W4293568582,https://openalex.org/A5040413143,David Danz,first,False,https://openalex.org/I170201317,University of Pittsburgh,education,US
https://openalex.org/W4293568582,https://openalex.org/A5018145243,Lise Vesterlund,middle,False,https://openalex.org/I170201317,University of Pittsburgh,education,US
https://openalex.org/W4293568582,https://openalex.org/A5002348647,Alistair J. Wilson,last,False,https://openalex.org/I170201317,University of Pittsburgh,education,US
https://openalex.org/W4392295937,https://openalex.org/A5053484386,Mark Buntaine,first,False,https://openalex.org/I154570441,"University of California, Santa Barbara",education,US
https://openalex.org/W4392295937,https://openalex.org/A5077574905,Michael Greenstone,middle,False,https://openalex.org/I40347166,University of Chicago,education,US
https://openalex.org/W4392295937,https://openalex.org/A5051244066,Guojun He,middle,False,https://openalex.org/I889458895,University of Hong Kong,education,HK
https://openalex.org/W4392295937,https://openalex.org/A5052606665,Mengdi Liu,middle,False,https://openalex.org/I146563203,University of International Business and Economics,education,CN
https://openalex.org/W4392295937,https://openalex.org/A5080278497,Shaoda Wang,middle,False,https://openalex.org/I40347166,University of Chicago,education,US
https://openalex.org/W4392295937,https://openalex.org/A5100389667,Bing Zhang,last,False,https://openalex.org/I137056471,Nanjing University of Finance and Economics,education,CN
https://openalex.org/W2909598045,https://openalex.org/A5108137093,Clément Imbert,first,False,https://openalex.org/I2800552397,BREAD (Bureau for Research and Economic Analysis of Development),nonprofit,US
https://openalex.org/W2909598045,https://openalex.org/A5108137093,Clément Imbert,first,False,https://openalex.org/I39555362,University of Warwick,education,GB
https://openalex.org/W2909598045,https://openalex.org/A5005278213,Marlon Seror,middle,False,https://openalex.org/I159129438,Université du Québec à Montréal,education,CA
https://openalex.org/W2909598045,https://openalex.org/A5100376965,Yifan Zhang,middle,False,https://openalex.org/I177725633,Chinese University of Hong Kong,education,HK
https://openalex.org/W2909598045,https://openalex.org/A5006074067,Yanos Zylberberg,last,False,https://openalex.org/I36234482,University of Bristol,education,GB
https://openalex.org/W4313303421,https://openalex.org/A5089442308,Vasily Korovkin,first,False,https://openalex.org/I151321946,Center for Economic Research and Graduate Education – Economics Institute,education,CZ
https://openalex.org/W4313303421,https://openalex.org/A5089442308,Vasily Korovkin,first,False,https://openalex.org/I21250087,Charles University,education,CZ
https://openalex.org/W4313303421,https://openalex.org/A5089442308,Vasily Korovkin,first,False,https://openalex.org/I4210121259,"Czech Academy of Sciences, Economics Institute",facility,CZ
https://openalex.org/W4313303421,https://openalex.org/A5048334776,Alexey Makarin,last,False,https://openalex.org/I154032705,Einaudi Institute for Economics and Finance,facility,IT
https://openalex.org/W4408999048,https://openalex.org/A5064959356,Antoine Dechezleprêtre,first,False,https://openalex.org/I1288051870,Organisation de Coopération et de Développement Economiques,funder,FR
https://openalex.org/W4408999048,https://openalex.org/A5036004801,Adrien Fabre,middle,False,https://openalex.org/I4210103046,CIRED,facility,FR
https://openalex.org/W4408999048,https://openalex.org/A5009320691,Tobias Kruse,middle,False,https://openalex.org/I1288051870,Organisation de Coopération et de Développement Economiques,funder,FR
https://openalex.org/W4408999048,https://openalex.org/A5041615963,Bluebery Planterose,middle,False,,,,
https://openalex.org/W4408999048,https://openalex.org/A5086016790,Ana Sánchez Chico,middle,False,https://openalex.org/I79463011,Analysis Group (United States),company,US
https://openalex.org/W4408999048,https://openalex.org/A5061976066,Stefanie Stantcheva,last,False,https://openalex.org/I1279858714,Center for Economic and Policy Research,nonprofit,US
https://openalex.org/W4310177461,https://openalex.org/A5035590653,Niklas Engbom,first,False,https://openalex.org/I1279858714,Center for Economic and Policy Research,nonprofit,US
https://openalex.org/W4310177461,https://openalex.org/A5035590653,Niklas Engbom,first,False,https://openalex.org/I57206974,New York University,education,US
https://openalex.org/W4310177461,https://openalex.org/A5024998614,Christian Moser,last,False,https://openalex.org/I1279858714,Center for Economic and Policy Research,nonprofit,US
https://openalex.org/W4310177461,https://openalex.org/A5024998614,Christian Moser,last,False,https://openalex.org/I78577930,Columbia University,education,US
https://openalex.org/W3152000341,https://openalex.org/A5048874830,Maarten de Ridder,first,True,https://openalex.org/I909854389,London School of Economics and Political Science,education,GB
https://openalex.org/W4382721316,https://openalex.org/A5055622850,Zoë Cullen,first,False,https://openalex.org/I136199984,Harvard University,education,US
https://openalex.org/W4382721316,https://openalex.org/A5114032531,Ricardo Pérez-Truglia,last,False,https://openalex.org/I95457486,"University of California, Berkeley",education,US
https://openalex.org/W4392295948,https://openalex.org/A5034004951,Olivier Coibion,first,False,https://openalex.org/I86519309,The University of Texas at Austin,education,US
https://openalex.org/W4392295948,https://openalex.org/A5027785897,Dimitris Georgarakos,middle,False,https://openalex.org/I153515283,European Central Bank,government,DE
https://openalex.org/W4392295948,https://openalex.org/A5017568125,Yuriy Gorodnichenko,middle,False,https://openalex.org/I95457486,"University of California, Berkeley",education,US
https://openalex.org/W4392295948,https://openalex.org/A5056612876,Geoff Kenny,middle,False,https://openalex.org/I153515283,European Central Bank,government,DE
