tag_a,tag_b,total,early_2022_23,late_2024_25,growth_rate_pct
Applied / International Trade,Micro / General Economic Theory,11,5,6,18.2
Applied / International Trade,Applied / Other / Interdisciplinary,11,4,7,54.5
Applied / Development Economics,Applied / International Trade,11,5,6,18.2
Applied / Other / Interdisciplinary,Macro / Financial Markets & Stability,11,7,4,-54.5
Applied / Labor Economics,Macro / Financial Markets & Stability,11,9,2,-127.3
Applied / Labor Economics,Applied / Political Economy & Governance,11,5,6,18.2
Econometrics / Time Series & Panel Data Methods,Macro / Financial Markets & Stability,11,7,4,-54.5
Macro / Business Cycles & Growth,Macro / Financial Markets & Stability,11,3,8,90.9
Applied / Health Economics,Econometrics / Causal Inference & Identification,11,4,7,54.5
Applied / Corporate & Household Finance,Micro / Behavioral & Experimental Economics,11,5,6,18.2
Applied / Labor Economics,Applied / Urban & Regional Economics,11,9,2,-127.3
Applied / Economic History,Macro / Financial Markets & Stability,11,4,7,54.5
Applied / Corporate & Household Finance,Applied / Political Economy & Governance,10,8,2,-120.0
Applied / Other / Interdisciplinary,Macro / Business Cycles & Growth,10,5,5,0.0
Applied / Public Finance & Taxation,Micro / Industrial Organization & Competition,10,3,7,80.0
Applied / Political Economy & Governance,Applied / Public Finance & Taxation,10,6,4,-40.0
Applied / International Trade,Macro / Financial Markets & Stability,10,3,7,80.0
Macro / Financial Markets & Stability,Micro / Behavioral & Experimental Economics,9,4,5,22.2
Macro / Business Cycles & Growth,Micro / Behavioral & Experimental Economics,9,7,2,-111.1
Applied / Development Economics,Micro / General Economic Theory,9,6,3,-66.7
Applied / Corporate & Household Finance,Applied / Environmental & Energy Economics,9,4,5,22.2
Applied / International Trade,Macro / Monetary Policy & Central Banking,9,3,6,66.7
Econometrics / Time Series & Panel Data Methods,Micro / General Economic Theory,9,8,1,-155.6
Macro / Monetary Policy & Central Banking,Micro / Industrial Organization & Competition,9,5,4,-22.2
Macro / Financial Markets & Stability,Micro / Industrial Organization & Competition,9,2,7,111.1
Applied / Public Finance & Taxation,Micro / Behavioral & Experimental Economics,8,7,1,-150.0
Applied / Development Economics,Applied / Health Economics,8,4,4,0.0
Applied / Development Economics,Applied / Urban & Regional Economics,8,5,3,-50.0
Applied / Environmental & Energy Economics,Macro / Business Cycles & Growth,8,3,5,50.0
Econometrics / Time Series & Panel Data Methods,Micro / Behavioral & Experimental Economics,8,4,4,0.0
Applied / Education Economics,Econometrics / Causal Inference & Identification,8,4,4,0.0
Applied / Labor Economics,Micro / Game Theory & Mechanism Design,7,6,1,-142.9
Applied / Development Economics,Micro / Game Theory & Mechanism Design,7,2,5,85.7
Applied / Other / Interdisciplinary,Micro / General Economic Theory,7,5,2,-85.7
Applied / Corporate & Household Finance,Macro / Business Cycles & Growth,7,5,2,-85.7
Applied / Education Economics,Applied / Urban & Regional Economics,7,6,1,-142.9
Applied / Education Economics,Micro / Game Theory & Mechanism Design,7,4,3,-28.6
Macro / Financial Markets & Stability,Micro / Auctions & Market Design,7,4,3,-28.6
Applied / Corporate & Household Finance,Micro / Auctions & Market Design,7,4,3,-28.6
Applied / Health Economics,Macro / Financial Markets & Stability,7,6,1,-142.9
Econometrics / Time Series & Panel Data Methods,Micro / Industrial Organization & Competition,7,3,4,28.6
Applied / Environmental & Energy Economics,Macro / Monetary Policy & Central Banking,7,4,3,-28.6
Applied / Urban & Regional Economics,Econometrics / Time Series & Panel Data Methods,7,5,2,-85.7
Applied / Environmental & Energy Economics,Applied / Urban & Regional Economics,7,3,4,28.6
Macro / Business Cycles & Growth,Micro / Game Theory & Mechanism Design,7,5,2,-85.7
Applied / Labor Economics,Micro / Behavioral & Experimental Economics,7,4,3,-28.6
Applied / Other / Interdisciplinary,Econometrics / Causal Inference & Identification,7,2,5,85.7
Econometrics / Machine Learning in Economics,Micro / Auctions & Market Design,6,2,4,66.7
Applied / Education Economics,Applied / Political Economy & Governance,6,5,1,-133.3
Econometrics / Time Series & Panel Data Methods,Macro / Monetary Policy & Central Banking,6,5,1,-133.3
Applied / Economic History,Micro / General Economic Theory,6,4,2,-66.7
Econometrics / Machine Learning in Economics,Econometrics / Statistical & Bayesian Methods,6,2,4,66.7
Applied / Education Economics,Macro / Fiscal Policy,6,4,2,-66.7
Applied / Health Economics,Macro / Fiscal Policy,6,3,3,0.0
Econometrics / Statistical & Bayesian Methods,Micro / Game Theory & Mechanism Design,6,2,4,66.7
Applied / Public Finance & Taxation,Micro / Auctions & Market Design,5,2,3,40.0
Applied / Political Economy & Governance,Macro / Financial Markets & Stability,5,4,1,-120.0
Applied / Labor Economics,Macro / Monetary Policy & Central Banking,5,5,0,-200.0
Applied / Other / Interdisciplinary,Micro / Auctions & Market Design,5,4,1,-120.0
Applied / Health Economics,Micro / Behavioral & Experimental Economics,5,3,2,-40.0
Applied / International Trade,Applied / Urban & Regional Economics,5,3,2,-40.0
Applied / Public Finance & Taxation,Macro / Business Cycles & Growth,5,4,1,-120.0
Econometrics / Machine Learning in Economics,Micro / Game Theory & Mechanism Design,5,2,3,40.0
Applied / Environmental & Energy Economics,Applied / Labor Economics,5,5,0,-200.0
Applied / Education Economics,Micro / Behavioral & Experimental Economics,5,2,3,40.0
Applied / Economic History,Applied / Labor Economics,5,3,2,-40.0
Macro / Monetary Policy & Central Banking,Micro / Behavioral & Experimental Economics,5,3,2,-40.0
Applied / Political Economy & Governance,Macro / Fiscal Policy,5,4,1,-120.0
Applied / Corporate & Household Finance,Applied / Economic History,5,5,0,-200.0
Applied / Health Economics,Econometrics / Statistical & Bayesian Methods,5,1,4,120.0
Applied / Environmental & Energy Economics,Micro / General Economic Theory,4,3,1,-100.0
Applied / Political Economy & Governance,Micro / General Economic Theory,4,2,2,0.0
Econometrics / Statistical & Bayesian Methods,Micro / Industrial Organization & Competition,4,2,2,0.0
Applied / Economic History,Macro / Business Cycles & Growth,4,2,2,0.0
Applied / Other / Interdisciplinary,Applied / Public Finance & Taxation,4,4,0,-200.0
Applied / Development Economics,Econometrics / Time Series & Panel Data Methods,4,2,2,0.0
Econometrics / Time Series & Panel Data Methods,Micro / Game Theory & Mechanism Design,4,3,1,-100.0
Applied / Environmental & Energy Economics,Econometrics / Time Series & Panel Data Methods,4,2,2,0.0
Econometrics / Statistical & Bayesian Methods,Econometrics / Time Series & Panel Data Methods,4,1,3,100.0
Applied / Economic History,Macro / Monetary Policy & Central Banking,4,1,3,100.0
Applied / Health Economics,Applied / Public Finance & Taxation,4,3,1,-100.0
Applied / Labor Economics,Econometrics / Causal Inference & Identification,4,2,2,0.0
Econometrics / Statistical & Bayesian Methods,Micro / Auctions & Market Design,4,1,3,100.0
