institution_name,level1,level2,paper_count
"University of California, Berkeley",Econometrics,Statistical & Bayesian Methods,2
"University of California, Berkeley",Applied,Urban & Regional Economics,1
"University of California, Berkeley",Econometrics,Causal Inference & Identification,1
"University of California, Davis",Macro,Monetary Policy & Central Banking,3
"University of California, Davis",Macro,Fiscal Policy,2
"University of California, Davis",Applied,Development Economics,1
"University of California, Davis",Applied,Public Finance & Taxation,1
"University of California, Davis",Econometrics,Statistical & Bayesian Methods,1
"University of California, Davis",Macro,Financial Markets & Stability,1
"University of California, Davis",Micro,Behavioral & Experimental Economics,1
"University of California, Davis",Micro,General Economic Theory,1
"University of California, Irvine",Micro,General Economic Theory,2
"University of California, Irvine",Applied,Education Economics,1
"University of California, Irvine",Applied,Environmental & Energy Economics,1
"University of California, Irvine",Macro,Monetary Policy & Central Banking,1
"University of California, Irvine",Micro,Industrial Organization & Competition,1
"University of California, Los Angeles",Applied,Development Economics,4
"University of California, Los Angeles",Applied,Labor Economics,4
"University of California, Los Angeles",Macro,Financial Markets & Stability,4
"University of California, Los Angeles",Applied,International Trade,3
"University of California, Los Angeles",Applied,Economic History,2
"University of California, Los Angeles",Applied,Education Economics,2
"University of California, Los Angeles",Applied,Health Economics,2
"University of California, Los Angeles",Macro,Monetary Policy & Central Banking,2
"University of California, Los Angeles",Micro,General Economic Theory,2
"University of California, Los Angeles",Applied,Corporate & Household Finance,1
"University of California, Los Angeles",Applied,Environmental & Energy Economics,1
"University of California, Los Angeles",Applied,Political Economy & Governance,1
"University of California, Los Angeles",Applied,Public Finance & Taxation,1
"University of California, Los Angeles",Applied,Urban & Regional Economics,1
"University of California, Los Angeles",Econometrics,Statistical & Bayesian Methods,1
"University of California, Los Angeles",Micro,Behavioral & Experimental Economics,1
"University of California, Los Angeles",Micro,Game Theory & Mechanism Design,1
"University of California, Los Angeles",Micro,Industrial Organization & Competition,1
"University of California, Merced",Applied,Education Economics,1
"University of California, Merced",Applied,Political Economy & Governance,1
"University of California, Merced",Macro,Financial Markets & Stability,1
"University of California, Santa Barbara",Micro,Behavioral & Experimental Economics,3
"University of California, Santa Barbara",Applied,Labor Economics,2
"University of California, Santa Barbara",Applied,Development Economics,1
"University of California, Santa Barbara",Applied,Political Economy & Governance,1
"University of California, Santa Barbara",Econometrics,Machine Learning in Economics,1
"University of California, Santa Barbara",Macro,Financial Markets & Stability,1
"University of California, Santa Barbara",Micro,Auctions & Market Design,1
"University of California, Santa Barbara",Micro,Industrial Organization & Competition,1
"University of California, Santa Cruz",Micro,Behavioral & Experimental Economics,2
"University of California, Santa Cruz",Applied,Education Economics,1
"University of California, Santa Cruz",Applied,Labor Economics,1
"University of California, Santa Cruz",Applied,Public Finance & Taxation,1
"University of California, Santa Cruz",Econometrics,Statistical & Bayesian Methods,1
"University of California, Santa Cruz",Macro,Monetary Policy & Central Banking,1
"University of California, Santa Cruz",Micro,Auctions & Market Design,1
University of Cambridge,Applied,Labor Economics,2
University of Cambridge,Macro,Business Cycles & Growth,2
University of Cambridge,Applied,Education Economics,1
University of Cambridge,Econometrics,Machine Learning in Economics,1
University of Cambridge,Macro,Monetary Policy & Central Banking,1
University of Cambridge,Micro,Behavioral & Experimental Economics,1
University of Chicago,Applied,Labor Economics,15
University of Chicago,Applied,Education Economics,12
University of Chicago,Applied,Health Economics,11
University of Chicago,Micro,Industrial Organization & Competition,11
University of Chicago,Applied,Development Economics,9
University of Chicago,Applied,Political Economy & Governance,9
University of Chicago,Micro,General Economic Theory,9
University of Chicago,Applied,Corporate & Household Finance,7
University of Chicago,Macro,Financial Markets & Stability,7
University of Chicago,Macro,Monetary Policy & Central Banking,7
University of Chicago,Micro,Behavioral & Experimental Economics,7
University of Chicago,Applied,Urban & Regional Economics,6
University of Chicago,Micro,Auctions & Market Design,6
University of Chicago,Applied,Environmental & Energy Economics,5
University of Chicago,Micro,Game Theory & Mechanism Design,5
University of Chicago,Macro,Fiscal Policy,4
University of Chicago,Applied,International Trade,3
University of Chicago,Applied,Other / Interdisciplinary,2
University of Chicago,Econometrics,Causal Inference & Identification,2
University of Chicago,Econometrics,Statistical & Bayesian Methods,2
University of Chicago,Econometrics,Time Series & Panel Data Methods,2
University of Chicago,Macro,Business Cycles & Growth,2
University of Chicago,Applied,Public Finance & Taxation,1
University of Chicago,Econometrics,Machine Learning in Economics,1
University of Cologne,Applied,Labor Economics,4
University of Cologne,Applied,Corporate & Household Finance,1
University of Cologne,Applied,Development Economics,1
University of Cologne,Applied,Political Economy & Governance,1
University of Cologne,Macro,Financial Markets & Stability,1
University of Cologne,Macro,Monetary Policy & Central Banking,1
University of Colorado Boulder,Econometrics,Machine Learning in Economics,1
University of Colorado Boulder,Macro,Financial Markets & Stability,1
University of Colorado Boulder,Micro,General Economic Theory,1
University of Connecticut,Applied,Political Economy & Governance,2
University of Connecticut,Applied,Health Economics,1
University of Connecticut,Applied,Labor Economics,1
University of Copenhagen,Applied,Labor Economics,2
University of Copenhagen,Econometrics,Statistical & Bayesian Methods,2
University of Copenhagen,Applied,Corporate & Household Finance,1
University of Copenhagen,Applied,Development Economics,1
University of Copenhagen,Applied,Environmental & Energy Economics,1
University of Copenhagen,Applied,Political Economy & Governance,1
University of Copenhagen,Macro,Fiscal Policy,1
University of Copenhagen,Micro,Industrial Organization & Competition,1
University of Edinburgh,Applied,Labor Economics,2
University of Edinburgh,Applied,Corporate & Household Finance,1
University of Edinburgh,Micro,Auctions & Market Design,1
University of Edinburgh,Micro,Game Theory & Mechanism Design,1
University of Edinburgh,Micro,General Economic Theory,1
University of Essex,Applied,Labor Economics,3
University of Essex,Applied,Political Economy & Governance,2
University of Essex,Applied,Corporate & Household Finance,1
University of Essex,Applied,Education Economics,1
University of Essex,Applied,International Trade,1
University of Essex,Econometrics,Machine Learning in Economics,1
University of Essex,Macro,Financial Markets & Stability,1
University of Essex,Micro,Auctions & Market Design,1
University of Essex,Micro,Behavioral & Experimental Economics,1
University of Essex,Micro,Game Theory & Mechanism Design,1
University of Essex,Micro,General Economic Theory,1
University of Exeter,Applied,Economic History,1
University of Exeter,Applied,Environmental & Energy Economics,1
University of Exeter,Applied,Other / Interdisciplinary,1
University of Exeter,Applied,Political Economy & Governance,1
University of Exeter,Econometrics,Causal Inference & Identification,1
University of Exeter,Econometrics,Statistical & Bayesian Methods,1
University of Exeter,Micro,Behavioral & Experimental Economics,1
University of Exeter,Micro,Industrial Organization & Competition,1
University of Georgia,Applied,Health Economics,2
University of Georgia,Micro,Auctions & Market Design,1
University of Georgia,Micro,Industrial Organization & Competition,1
University of Groningen,Econometrics,Causal Inference & Identification,1
University of Groningen,Micro,General Economic Theory,1
University of Groningen,Micro,Industrial Organization & Competition,1
University of Hong Kong,Applied,International Trade,3
University of Hong Kong,Applied,Development Economics,2
University of Hong Kong,Applied,Labor Economics,2
University of Hong Kong,Macro,Business Cycles & Growth,2
University of Hong Kong,Micro,Auctions & Market Design,2
University of Hong Kong,Micro,Behavioral & Experimental Economics,2
University of Hong Kong,Micro,General Economic Theory,2
University of Hong Kong,Applied,Corporate & Household Finance,1
University of Hong Kong,Applied,Health Economics,1
University of Hong Kong,Applied,Other / Interdisciplinary,1
University of Hong Kong,Applied,Political Economy & Governance,1
University of Hong Kong,Micro,Game Theory & Mechanism Design,1
University of Illinois Chicago,Applied,Education Economics,1
University of Illinois Chicago,Applied,Health Economics,1
University of Illinois Chicago,Applied,Urban & Regional Economics,1
University of Illinois Urbana-Champaign,Applied,Corporate & Household Finance,1
University of Illinois Urbana-Champaign,Applied,Health Economics,1
University of Illinois Urbana-Champaign,Macro,Fiscal Policy,1
University of Illinois Urbana-Champaign,Micro,Auctions & Market Design,1
University of Iowa,Macro,Financial Markets & Stability,2
University of Iowa,Micro,Auctions & Market Design,1
University of Iowa,Micro,Game Theory & Mechanism Design,1
University of Lausanne,Applied,Labor Economics,2
University of Lausanne,Macro,Financial Markets & Stability,2
University of Lausanne,Applied,Education Economics,1
University of Lausanne,Applied,Political Economy & Governance,1
University of Lausanne,Micro,Game Theory & Mechanism Design,1
University of Manchester,Applied,Labor Economics,2
University of Manchester,Applied,Other / Interdisciplinary,1
University of Mannheim,Applied,Labor Economics,5
University of Mannheim,Micro,Behavioral & Experimental Economics,2
University of Mannheim,Micro,Industrial Organization & Competition,2
University of Mannheim,Applied,Corporate & Household Finance,1
University of Mannheim,Applied,Environmental & Energy Economics,1
University of Mannheim,Applied,Political Economy & Governance,1
University of Mannheim,Econometrics,Statistical & Bayesian Methods,1
"University of Maryland, College Park",Applied,Environmental & Energy Economics,3
"University of Maryland, College Park",Applied,Labor Economics,3
"University of Maryland, College Park",Micro,Industrial Organization & Competition,3
"University of Maryland, College Park",Applied,Education Economics,1
"University of Maryland, College Park",Applied,International Trade,1
"University of Maryland, College Park",Applied,Political Economy & Governance,1
University of Michigan,Applied,Labor Economics,6
University of Michigan,Applied,Corporate & Household Finance,4
University of Michigan,Micro,Behavioral & Experimental Economics,4
University of Michigan,Applied,Development Economics,2
University of Michigan,Applied,Environmental & Energy Economics,2
University of Michigan,Applied,Health Economics,2
University of Michigan,Applied,International Trade,2
University of Michigan,Applied,Other / Interdisciplinary,2
University of Michigan,Applied,Political Economy & Governance,2
University of Michigan,Applied,Public Finance & Taxation,2
University of Michigan,Econometrics,Causal Inference & Identification,1
University of Michigan,Econometrics,Machine Learning in Economics,1
University of Michigan,Econometrics,Statistical & Bayesian Methods,1
University of Michigan,Macro,Business Cycles & Growth,1
University of Michigan,Macro,Financial Markets & Stability,1
University of Michigan,Macro,Fiscal Policy,1
University of Michigan,Micro,Game Theory & Mechanism Design,1
University of Michigan,Micro,General Economic Theory,1
University of Minnesota,Applied,Labor Economics,8
University of Minnesota,Macro,Financial Markets & Stability,5
University of Minnesota,Macro,Fiscal Policy,3
University of Minnesota,Applied,Corporate & Household Finance,2
University of Minnesota,Macro,Business Cycles & Growth,2
University of Minnesota,Micro,Behavioral & Experimental Economics,2
University of Minnesota,Micro,Industrial Organization & Competition,2
University of Minnesota,Applied,Health Economics,1
University of Minnesota,Applied,Public Finance & Taxation,1
University of Minnesota,Macro,Monetary Policy & Central Banking,1
University of Minnesota System,Applied,Education Economics,1
University of Minnesota System,Macro,Financial Markets & Stability,1
University of Minnesota System,Micro,General Economic Theory,1
University of Minnesota System,Micro,Industrial Organization & Competition,1
University of North Carolina at Chapel Hill,Applied,Labor Economics,1
University of North Carolina at Chapel Hill,Macro,Fiscal Policy,1
University of North Carolina at Chapel Hill,Micro,Game Theory & Mechanism Design,1
University of Notre Dame,Applied,Urban & Regional Economics,3
University of Notre Dame,Macro,Financial Markets & Stability,3
University of Notre Dame,Applied,Corporate & Household Finance,2
University of Notre Dame,Applied,Labor Economics,2
University of Notre Dame,Micro,Industrial Organization & Competition,2
University of Notre Dame,Applied,Development Economics,1
University of Notre Dame,Applied,Education Economics,1
University of Notre Dame,Applied,Health Economics,1
University of Notre Dame,Applied,International Trade,1
University of Notre Dame,Macro,Fiscal Policy,1
University of Nottingham,Applied,Political Economy & Governance,2
University of Nottingham,Macro,Financial Markets & Stability,1
University of Nottingham,Micro,Behavioral & Experimental Economics,1
University of Nottingham,Micro,General Economic Theory,1
University of Oregon,Applied,Education Economics,1
University of Oregon,Applied,Environmental & Energy Economics,1
University of Oregon,Applied,Urban & Regional Economics,1
University of Oregon,Micro,Industrial Organization & Competition,1
University of Oslo,Applied,Education Economics,1
University of Oslo,Applied,Environmental & Energy Economics,1
University of Oslo,Applied,Political Economy & Governance,1
University of Oslo,Macro,Financial Markets & Stability,1
University of Oslo,Micro,Industrial Organization & Competition,1
University of Oxford,Applied,Labor Economics,7
University of Oxford,Applied,Political Economy & Governance,5
University of Oxford,Applied,Development Economics,4
University of Oxford,Macro,Financial Markets & Stability,4
University of Oxford,Macro,Monetary Policy & Central Banking,2
University of Oxford,Micro,Auctions & Market Design,2
University of Oxford,Micro,Behavioral & Experimental Economics,2
University of Oxford,Micro,Game Theory & Mechanism Design,2
University of Oxford,Micro,General Economic Theory,2
University of Oxford,Applied,Education Economics,1
University of Oxford,Applied,Environmental & Energy Economics,1
University of Oxford,Applied,Other / Interdisciplinary,1
University of Oxford,Applied,Public Finance & Taxation,1
University of Oxford,Econometrics,Machine Learning in Economics,1
University of Oxford,Econometrics,Time Series & Panel Data Methods,1
University of Oxford,Macro,Business Cycles & Growth,1
University of Oxford,Macro,Fiscal Policy,1
University of Oxford,Micro,Industrial Organization & Competition,1
University of Pennsylvania,Macro,Financial Markets & Stability,9
University of Pennsylvania,Applied,Urban & Regional Economics,5
University of Pennsylvania,Macro,Fiscal Policy,5
University of Pennsylvania,Micro,Behavioral & Experimental Economics,4
University of Pennsylvania,Applied,Education Economics,3
University of Pennsylvania,Micro,Auctions & Market Design,3
University of Pennsylvania,Micro,Game Theory & Mechanism Design,3
University of Pennsylvania,Applied,Labor Economics,2
University of Pennsylvania,Macro,Monetary Policy & Central Banking,2
University of Pennsylvania,Micro,General Economic Theory,2
University of Pennsylvania,Micro,Industrial Organization & Competition,2
University of Pennsylvania,Applied,Corporate & Household Finance,1
University of Pennsylvania,Applied,Development Economics,1
University of Pennsylvania,Applied,Environmental & Energy Economics,1
University of Pennsylvania,Applied,Health Economics,1
University of Pennsylvania,Applied,Political Economy & Governance,1
University of Pennsylvania,Econometrics,Machine Learning in Economics,1
University of Pennsylvania,Econometrics,Statistical & Bayesian Methods,1
University of Pennsylvania,Econometrics,Time Series & Panel Data Methods,1
University of Pennsylvania,Macro,Business Cycles & Growth,1
University of Pittsburgh,Applied,Other / Interdisciplinary,2
University of Pittsburgh,Micro,Behavioral & Experimental Economics,2
University of Pittsburgh,Applied,Development Economics,1
University of Pittsburgh,Applied,Education Economics,1
University of Pittsburgh,Applied,Labor Economics,1
University of Pittsburgh,Applied,Political Economy & Governance,1
University of Pittsburgh,Applied,Public Finance & Taxation,1
University of Pittsburgh,Macro,Fiscal Policy,1
University of Pittsburgh,Micro,General Economic Theory,1
University of Pittsburgh,Micro,Industrial Organization & Competition,1
University of Rochester,Micro,General Economic Theory,5
University of Rochester,Macro,Financial Markets & Stability,3
University of Rochester,Applied,International Trade,2
University of Rochester,Applied,Labor Economics,2
University of Rochester,Macro,Fiscal Policy,2
University of Rochester,Micro,Industrial Organization & Competition,2
University of Rochester,Applied,Other / Interdisciplinary,1
University of Rochester,Applied,Urban & Regional Economics,1
University of Rochester,Micro,Auctions & Market Design,1
University of Rochester,Micro,Game Theory & Mechanism Design,1
University of Rome Tor Vergata,Applied,Political Economy & Governance,1
University of Rome Tor Vergata,Econometrics,Statistical & Bayesian Methods,1
University of Rome Tor Vergata,Micro,Auctions & Market Design,1
University of Southampton,Applied,Labor Economics,1
University of Southampton,Applied,Political Economy & Governance,1
University of Southampton,Econometrics,Machine Learning in Economics,1
University of Southern California,Macro,Financial Markets & Stability,6
University of Southern California,Applied,Development Economics,3
University of Southern California,Applied,Labor Economics,3
University of Southern California,Applied,Political Economy & Governance,3
University of Southern California,Micro,Auctions & Market Design,3
University of Southern California,Applied,Education Economics,1
University of Southern California,Applied,Health Economics,1
University of Southern California,Applied,Public Finance & Taxation,1
University of Southern California,Applied,Urban & Regional Economics,1
University of Southern California,Econometrics,Causal Inference & Identification,1
University of Southern California,Macro,Business Cycles & Growth,1
University of Southern California,Macro,Fiscal Policy,1
University of Southern California,Micro,Behavioral & Experimental Economics,1
University of St.Gallen,Applied,Development Economics,1
University of St.Gallen,Econometrics,Statistical & Bayesian Methods,1
University of St.Gallen,Macro,Business Cycles & Growth,1
University of St.Gallen,Micro,Industrial Organization & Competition,1
University of Surrey,Micro,Auctions & Market Design,2
University of Surrey,Micro,Behavioral & Experimental Economics,2
University of Surrey,Applied,Corporate & Household Finance,1
University of Surrey,Applied,Health Economics,1
University of Surrey,Macro,Financial Markets & Stability,1
University of Surrey,Micro,Industrial Organization & Competition,1
University of Toronto,Applied,Labor Economics,5
University of Toronto,Applied,Development Economics,4
University of Toronto,Applied,International Trade,4
University of Toronto,Applied,Environmental & Energy Economics,3
University of Toronto,Micro,Game Theory & Mechanism Design,3
University of Toronto,Applied,Health Economics,2
University of Toronto,Applied,Political Economy & Governance,2
University of Toronto,Macro,Financial Markets & Stability,2
University of Toronto,Macro,Fiscal Policy,2
University of Toronto,Micro,Industrial Organization & Competition,2
University of Toronto,Applied,Corporate & Household Finance,1
University of Toronto,Applied,Other / Interdisciplinary,1
University of Toronto,Applied,Public Finance & Taxation,1
University of Toronto,Applied,Urban & Regional Economics,1
University of Toronto,Econometrics,Machine Learning in Economics,1
University of Toronto,Econometrics,Statistical & Bayesian Methods,1
University of Toronto,Micro,Auctions & Market Design,1
University of Toronto,Micro,Behavioral & Experimental Economics,1
University of Toronto,Micro,General Economic Theory,1
University of Turin,Applied,Development Economics,1
University of Turin,Applied,Political Economy & Governance,1
University of Turin,Micro,General Economic Theory,1
University of Utah,Applied,Health Economics,1
University of Utah,Applied,Labor Economics,1
University of Utah,Applied,Other / Interdisciplinary,1
University of Utah,Macro,Financial Markets & Stability,1
University of Utah,Micro,Industrial Organization & Competition,1
University of Vienna,Applied,Labor Economics,1
University of Vienna,Applied,Political Economy & Governance,1
University of Vienna,Econometrics,Statistical & Bayesian Methods,1
University of Virginia,Applied,Education Economics,2
University of Virginia,Applied,Labor Economics,2
University of Virginia,Applied,Political Economy & Governance,2
University of Virginia,Micro,Industrial Organization & Competition,2
University of Virginia,Applied,Development Economics,1
University of Virginia,Applied,Environmental & Energy Economics,1
University of Virginia,Applied,International Trade,1
University of Virginia,Econometrics,Machine Learning in Economics,1
University of Virginia,Macro,Financial Markets & Stability,1
University of Virginia,Micro,Auctions & Market Design,1
University of Virginia,Micro,Game Theory & Mechanism Design,1
University of Warwick,Micro,Auctions & Market Design,2
University of Warwick,Applied,Development Economics,1
University of Warwick,Applied,Environmental & Energy Economics,1
University of Warwick,Applied,Labor Economics,1
University of Warwick,Applied,Other / Interdisciplinary,1
University of Warwick,Applied,Urban & Regional Economics,1
University of Warwick,Macro,Business Cycles & Growth,1
University of Warwick,Macro,Financial Markets & Stability,1
University of Warwick,Micro,Industrial Organization & Competition,1
University of Washington,Macro,Financial Markets & Stability,2
University of Washington,Applied,Environmental & Energy Economics,1
University of Washington,Applied,Urban & Regional Economics,1
University of Wisconsin–Madison,Micro,Industrial Organization & Competition,6
University of Wisconsin–Madison,Applied,Labor Economics,5
University of Wisconsin–Madison,Applied,International Trade,3
University of Wisconsin–Madison,Macro,Financial Markets & Stability,3
University of Wisconsin–Madison,Micro,Auctions & Market Design,3
University of Wisconsin–Madison,Econometrics,Statistical & Bayesian Methods,2
University of Wisconsin–Madison,Macro,Fiscal Policy,2
University of Wisconsin–Madison,Applied,Development Economics,1
University of Wisconsin–Madison,Applied,Education Economics,1
University of Wisconsin–Madison,Applied,Environmental & Energy Economics,1
University of Wisconsin–Madison,Applied,Political Economy & Governance,1
University of Wisconsin–Madison,Applied,Public Finance & Taxation,1
University of Wisconsin–Madison,Macro,Business Cycles & Growth,1
University of Wisconsin–Madison,Macro,Monetary Policy & Central Banking,1
University of Wisconsin–Madison,Micro,Behavioral & Experimental Economics,1
University of Wisconsin–Madison,Micro,Game Theory & Mechanism Design,1
University of Zurich,Applied,Development Economics,2
University of Zurich,Applied,International Trade,2
University of Zurich,Applied,Labor Economics,2
University of Zurich,Micro,Behavioral & Experimental Economics,2
University of Zurich,Applied,Corporate & Household Finance,1
University of Zurich,Applied,Education Economics,1
University of Zurich,Applied,Environmental & Energy Economics,1
University of Zurich,Applied,Health Economics,1
University of Zurich,Applied,Other / Interdisciplinary,1
University of Zurich,Applied,Political Economy & Governance,1
University of Zurich,Micro,Auctions & Market Design,1
University of Zurich,Micro,Game Theory & Mechanism Design,1
University of Zurich,Micro,Industrial Organization & Competition,1
Università della Svizzera italiana,Applied,Corporate & Household Finance,1
Università della Svizzera italiana,Applied,Labor Economics,1
Università della Svizzera italiana,Micro,Industrial Organization & Competition,1
Universität Innsbruck,Applied,Labor Economics,2
Universität Innsbruck,Micro,Behavioral & Experimental Economics,1
Universität Innsbruck,Micro,Game Theory & Mechanism Design,1
Université Libre de Bruxelles,Applied,Education Economics,1
Université Libre de Bruxelles,Micro,Behavioral & Experimental Economics,1
Université Libre de Bruxelles,Micro,Industrial Organization & Competition,1
Université Paris 1 Panthéon-Sorbonne,Macro,Financial Markets & Stability,1
Université Paris 1 Panthéon-Sorbonne,Micro,Auctions & Market Design,1
Université Paris 1 Panthéon-Sorbonne,Micro,Game Theory & Mechanism Design,1
Université de Montréal,Applied,Education Economics,1
Université de Montréal,Macro,Fiscal Policy,1
Université de Montréal,Micro,Game Theory & Mechanism Design,1
Uppsala University,Applied,Political Economy & Governance,2
Uppsala University,Applied,Corporate & Household Finance,1
Uppsala University,Applied,Labor Economics,1
Uppsala University,Applied,Other / Interdisciplinary,1
Uppsala University,Econometrics,Causal Inference & Identification,1
Vanderbilt University,Applied,Health Economics,3
Vanderbilt University,Applied,Economic History,1
Vanderbilt University,Econometrics,Causal Inference & Identification,1
Vanderbilt University,Macro,Financial Markets & Stability,1
Vanderbilt University,Micro,Auctions & Market Design,1
Vanderbilt University,Micro,Game Theory & Mechanism Design,1
Vrije Universiteit Amsterdam,Macro,Business Cycles & Growth,2
Vrije Universiteit Amsterdam,Applied,Education Economics,1
Vrije Universiteit Amsterdam,Applied,Health Economics,1
Vrije Universiteit Amsterdam,Micro,Industrial Organization & Competition,1
WZB Berlin Social Science Center,Micro,Game Theory & Mechanism Design,2
WZB Berlin Social Science Center,Applied,Labor Economics,1
Washington University in St. Louis,Applied,Development Economics,2
Washington University in St. Louis,Micro,Auctions & Market Design,2
Washington University in St. Louis,Micro,Behavioral & Experimental Economics,2
Washington University in St. Louis,Applied,Labor Economics,1
Washington University in St. Louis,Macro,Fiscal Policy,1
Washington University in St. Louis,Micro,Game Theory & Mechanism Design,1
Washington University in St. Louis,Micro,General Economic Theory,1
Washington University in St. Louis,Micro,Industrial Organization & Competition,1
Western University,Applied,Education Economics,1
Western University,Applied,International Trade,1
Western University,Applied,Labor Economics,1
Western University,Micro,Auctions & Market Design,1
Western University,Micro,General Economic Theory,1
Wharton County Junior College,Macro,Financial Markets & Stability,1
Wharton County Junior College,Macro,Fiscal Policy,1
Wharton County Junior College,Micro,Behavioral & Experimental Economics,1
Williams College,Applied,Development Economics,1
Williams College,Applied,Environmental & Energy Economics,1
Williams College,Applied,Labor Economics,1
World Bank,Applied,Development Economics,2
World Bank,Applied,Labor Economics,2
World Bank,Applied,Environmental & Energy Economics,1
World Bank,Applied,Political Economy & Governance,1
World Bank,Applied,Urban & Regional Economics,1
World Bank,Econometrics,Causal Inference & Identification,1
World Bank,Macro,Fiscal Policy,1
World Bank Group,Applied,Environmental & Energy Economics,2
World Bank Group,Applied,International Trade,2
World Bank Group,Applied,Labor Economics,2
World Bank Group,Applied,Development Economics,1
World Bank Group,Applied,Health Economics,1
World Bank Group,Applied,Political Economy & Governance,1
World Bank Group,Econometrics,Causal Inference & Identification,1
World Bank Group,Micro,Industrial Organization & Competition,1
Yale University,Applied,International Trade,9
Yale University,Applied,Labor Economics,8
Yale University,Macro,Financial Markets & Stability,7
Yale University,Micro,Auctions & Market Design,7
Yale University,Micro,Game Theory & Mechanism Design,6
Yale University,Micro,Industrial Organization & Competition,6
Yale University,Applied,Corporate & Household Finance,5
Yale University,Applied,Political Economy & Governance,5
Yale University,Applied,Development Economics,4
Yale University,Applied,Health Economics,4
Yale University,Macro,Fiscal Policy,4
Yale University,Applied,Education Economics,3
Yale University,Applied,Environmental & Energy Economics,3
Yale University,Macro,Business Cycles & Growth,3
Yale University,Applied,Urban & Regional Economics,2
Yale University,Econometrics,Causal Inference & Identification,2
Yale University,Econometrics,Statistical & Bayesian Methods,2
Yale University,Macro,Monetary Policy & Central Banking,2
Yale University,Micro,Behavioral & Experimental Economics,2
Yale University,Micro,General Economic Theory,2
Yale University,Applied,Public Finance & Taxation,1
Yale University,Econometrics,Machine Learning in Economics,1
École Polytechnique,Applied,Health Economics,2
École Polytechnique,Applied,Education Economics,1
École Polytechnique,Applied,Labor Economics,1
École Polytechnique,Macro,Fiscal Policy,1
École Polytechnique,Micro,Behavioral & Experimental Economics,1
École des hautes études en sciences sociales,Applied,Public Finance & Taxation,2
École des hautes études en sciences sociales,Micro,General Economic Theory,1
